game_year,batter,stand,p_throws,zone,pitch_type,ball_in_play,foul,swinging_strike,total_swings,pct_swinging_strike,pct_foul,pct_ball_in_play
2024,453568,L,R,1,FF,10,13,7,30,0.23333333333333334,0.43333333333333335,0.3333333333333333
2024,453568,L,R,1,FS,0,1,0,1,0.0,1.0,0.0
2024,453568,L,R,1,SI,1,1,0,2,0.0,0.5,0.5
2024,453568,L,R,1,SL,0,2,0,2,0.0,1.0,0.0
2024,453568,L,R,1,ST,1,1,0,2,0.0,0.5,0.5
2024,453568,L,R,2,CH,0,2,0,2,0.0,1.0,0.0
2024,453568,L,R,2,FC,1,4,2,7,0.2857142857142857,0.5714285714285714,0.14285714285714285
2024,453568,L,R,2,FF,9,21,7,37,0.1891891891891892,0.5675675675675675,0.24324324324324326
2024,453568,L,R,2,FS,2,0,0,2,0.0,0.0,1.0
2024,453568,L,R,2,SI,1,3,0,4,0.0,0.75,0.25
2024,453568,L,R,2,SL,1,4,1,6,0.16666666666666666,0.6666666666666666,0.16666666666666666
2024,453568,L,R,3,FC,6,4,1,11,0.09090909090909091,0.36363636363636365,0.5454545454545454
2024,453568,L,R,3,FF,6,9,2,17,0.11764705882352941,0.5294117647058824,0.35294117647058826
2024,453568,L,R,3,KC,1,0,0,1,0.0,0.0,1.0
2024,453568,L,R,3,SI,0,1,2,3,0.6666666666666666,0.3333333333333333,0.0
2024,453568,L,R,3,SL,1,1,0,2,0.0,0.5,0.5
2024,453568,L,R,4,CH,10,3,2,15,0.13333333333333333,0.2,0.6666666666666666
2024,453568,L,R,4,CU,1,0,0,1,0.0,0.0,1.0
2024,453568,L,R,4,FC,3,0,2,5,0.4,0.0,0.6
2024,453568,L,R,4,FF,7,17,3,27,0.1111111111111111,0.6296296296296297,0.25925925925925924
2024,453568,L,R,4,FS,1,1,0,2,0.0,0.5,0.5
2024,453568,L,R,4,SI,4,4,2,10,0.2,0.4,0.4
2024,453568,L,R,4,SL,9,3,0,12,0.0,0.25,0.75
2024,453568,L,R,4,ST,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,453568,L,R,4,SV,0,0,1,1,1.0,0.0,0.0
2024,453568,L,R,5,CH,2,1,1,4,0.25,0.25,0.5
2024,453568,L,R,5,CU,0,1,2,3,0.6666666666666666,0.3333333333333333,0.0
2024,453568,L,R,5,FC,4,2,1,7,0.14285714285714285,0.2857142857142857,0.5714285714285714
2024,453568,L,R,5,FF,17,17,2,36,0.05555555555555555,0.4722222222222222,0.4722222222222222
2024,453568,L,R,5,FS,1,1,0,2,0.0,0.5,0.5
2024,453568,L,R,5,KN,0,0,1,1,1.0,0.0,0.0
2024,453568,L,R,5,SI,7,2,0,9,0.0,0.2222222222222222,0.7777777777777778
2024,453568,L,R,5,SL,2,3,0,5,0.0,0.6,0.4
2024,453568,L,R,5,ST,2,0,0,2,0.0,0.0,1.0
2024,453568,L,R,6,CH,1,1,0,2,0.0,0.5,0.5
2024,453568,L,R,6,CU,2,0,0,2,0.0,0.0,1.0
2024,453568,L,R,6,FC,3,4,0,7,0.0,0.5714285714285714,0.42857142857142855
2024,453568,L,R,6,FF,7,16,2,25,0.08,0.64,0.28
2024,453568,L,R,6,FS,1,1,0,2,0.0,0.5,0.5
