game_year,stand,p_throws,zone,pitch_type,total_pitches,total_swings,swing_percentage
2024,L,L,8,ST,309,212,0.686084142394822
2024,L,L,8,SV,37,28,0.7567567567567568
2024,L,L,9,CH,141,124,0.8794326241134752
2024,L,L,9,CU,97,59,0.6082474226804123
2024,L,L,9,EP,1,0,0.0
2024,L,L,9,FA,1,0,0.0
2024,L,L,9,FC,57,41,0.7192982456140351
2024,L,L,9,FF,364,190,0.521978021978022
2024,L,L,9,FS,14,12,0.8571428571428571
2024,L,L,9,KC,26,20,0.7692307692307693
2024,L,L,9,SI,917,644,0.7022900763358778
2024,L,L,9,SL,246,135,0.5487804878048781
2024,L,L,9,ST,129,58,0.4496124031007752
2024,L,L,9,SV,17,12,0.7058823529411765
2024,L,L,11,CH,15,4,0.26666666666666666
2024,L,L,11,CU,72,9,0.125
2024,L,L,11,EP,3,1,0.3333333333333333
2024,L,L,11,FA,14,3,0.21428571428571427
2024,L,L,11,FC,269,52,0.19330855018587362
2024,L,L,11,FF,2210,438,0.19819004524886877
2024,L,L,11,FS,2,1,0.5
2024,L,L,11,KC,11,3,0.2727272727272727
2024,L,L,11,PO,2,0,0.0
2024,L,L,11,SI,440,41,0.09318181818181819
2024,L,L,11,SL,471,93,0.19745222929936307
2024,L,L,11,ST,350,106,0.3028571428571429
2024,L,L,11,SV,14,4,0.2857142857142857
2024,L,L,12,CH,117,43,0.36752136752136755
2024,L,L,12,CU,186,23,0.12365591397849462
2024,L,L,12,EP,6,5,0.8333333333333334
2024,L,L,12,FA,9,3,0.3333333333333333
2024,L,L,12,FC,170,39,0.22941176470588234
2024,L,L,12,FF,2113,780,0.3691433980123048
2024,L,L,12,FS,14,5,0.35714285714285715
2024,L,L,12,KC,46,6,0.13043478260869565
2024,L,L,12,SI,1974,832,0.4214792299898683
2024,L,L,12,SL,454,78,0.17180616740088106
2024,L,L,12,ST,280,32,0.11428571428571428
2024,L,L,12,SV,19,0,0.0
2024,L,L,13,CH,472,110,0.2330508474576271
2024,L,L,13,CU,1045,314,0.3004784688995215
2024,L,L,13,EP,8,1,0.125
2024,L,L,13,FA,10,0,0.0
2024,L,L,13,FC,1310,350,0.26717557251908397
