game_year,player_name,pitcher,stand,pitch_type,balls,strikes,count,total_count,frequency
2024,"Burnes, Corbin",669203,L,CU,0,0,136,375,0.3626666666666667
2024,"Hjelle, Sean",663546,R,SI,0,0,136,183,0.7431693989071039
2024,"Bradley, Taj",671737,R,FF,0,0,136,268,0.5074626865671642
2024,"Jones, Jared",683003,R,FF,0,0,135,259,0.5212355212355212
2024,"Crawford, Kutter",676710,R,FC,0,0,135,366,0.36885245901639346
2024,"Wheeler, Zack",554430,R,FF,0,0,135,387,0.3488372093023256
2024,"Sale, Chris",519242,R,SL,0,1,135,340,0.39705882352941174
2024,"Arrighetti, Spencer",681293,R,FF,0,0,134,292,0.4589041095890411
2024,"Steele, Justin",657006,R,FF,0,1,134,244,0.5491803278688525
2024,"Anderson, Tyler",542881,R,FF,0,1,133,285,0.4666666666666667
2024,"Heaney, Andrew",571760,R,FF,0,1,133,281,0.47330960854092524
2024,"Rogers, Trevor",669432,R,SL,0,0,133,445,0.298876404494382
2024,"Valdez, Framber",664285,R,CU,0,0,133,601,0.22129783693843594
2024,"Pfaadt, Brandon",694297,R,FF,0,0,133,380,0.35
2024,"Paxton, James",572020,R,KC,0,0,132,382,0.34554973821989526
2024,"Sánchez, Cristopher",650911,R,SL,0,0,132,614,0.21498371335504887
2024,"Hicks, Jordan",663855,L,SI,0,0,132,230,0.5739130434782609
2024,"Imanaga, Shota",684007,R,FS,0,0,132,560,0.2357142857142857
2024,"Irvin, Cole",608344,R,FF,0,0,131,404,0.32425742574257427
2024,"Sánchez, Cristopher",650911,R,CH,0,2,131,202,0.6485148514851485
2024,"Sánchez, Cristopher",650911,R,SI,1,0,131,217,0.6036866359447005
2024,"Singer, Brady",663903,R,SL,0,0,130,343,0.37900874635568516
2024,"Lugo, Seth",607625,L,CU,0,0,130,444,0.2927927927927928
2024,"Brown, Hunter",686613,R,SI,0,0,130,345,0.37681159420289856
2024,"Alvarado, José",621237,R,SI,0,0,130,188,0.6914893617021277
2024,"Sale, Chris",519242,R,SL,1,2,130,299,0.43478260869565216
2024,"Greene, Hunter",668881,R,SL,0,0,130,311,0.4180064308681672
2024,"Gilbert, Logan",669302,R,SL,0,0,129,446,0.289237668161435
2024,"Kremer, Dean",665152,L,FF,0,0,129,283,0.4558303886925795
2024,"Manaea, Sean",640455,R,SI,0,0,129,602,0.21428571428571427
2024,"Heaney, Andrew",571760,R,SL,0,0,129,550,0.23454545454545456
2024,"Cano, Yennier",666974,R,SI,0,0,128,164,0.7804878048780488
2024,"Kikuchi, Yusei",579328,R,FF,1,1,128,255,0.5019607843137255
2024,"Imanaga, Shota",684007,R,FS,0,1,128,309,0.41423948220064727
2024,"Abbott, Andrew",671096,R,CU,0,0,127,453,0.2803532008830022
2024,"Wacha, Michael",608379,L,FF,0,0,127,352,0.36079545454545453
2024,"Stroman, Marcus",573186,L,SI,0,0,127,335,0.37910447761194027
2024,"Kopech, Michael",656629,L,FF,0,0,127,140,0.9071428571428571
2024,"Flexen, Chris",623167,R,FF,0,0,126,383,0.3289817232375979
2024,"Rogers, Trevor",669432,R,FF,0,0,126,445,0.28314606741573034
2024,"Martinez, Nick",607259,R,SI,0,0,126,306,0.4117647058823529
2024,"Castillo, Luis",622491,R,SI,0,0,126,376,0.3351063829787234
2024,"Falter, Bailey",663559,R,CU,0,0,126,488,0.2581967213114754
2024,"Valdez, Framber",664285,R,SI,0,1,125,274,0.4562043795620438
2024,"Woo, Bryan",693433,L,FF,0,0,125,249,0.5020080321285141
2024,"Gray, Sonny",543243,R,FC,0,0,124,356,0.34831460674157305
2024,"Glasnow, Tyler",607192,R,FF,0,0,124,273,0.4542124542124542
2024,"Harrison, Kyle",690986,R,SV,0,0,124,427,0.2903981264637002
2024,"Mikolas, Miles",571945,L,FF,0,0,124,354,0.3502824858757062
2024,"Lynn, Lance",458681,R,FF,0,0,124,252,0.49206349206349204
2024,"Pivetta, Nick",601713,L,CU,0,0,124,291,0.4261168384879725
2024,"Sears, JP",676664,R,FF,1,2,124,235,0.5276595744680851
