game_year,pitcher,throws
2024,657277,R
2024,657376,R
2024,657508,R
2024,657514,L
2024,657571,L
2024,657585,R
2024,657612,L
2024,657624,R
2024,657649,L
2024,657697,R
2024,657746,R
2024,658648,R
2024,659275,R
2024,660261,R
2024,660600,R
2024,660623,R
2024,660644,R
2024,660761,L
2024,660781,L
2024,660787,R
2024,660813,R
2024,660825,R
2024,660844,R
2024,660853,R
2024,660896,R
2024,660906,L
2024,661269,R
2024,661395,R
2024,661403,R
2024,661440,R
2024,661527,R
2024,661536,R
2024,661563,R
2024,662253,R
2024,663158,R
2024,663321,R
2024,663362,R
2024,663372,R
2024,663423,R
2024,663432,R
2024,663436,R
2024,663455,L
2024,663460,L
2024,663462,R
2024,663465,L
2024,663474,R
2024,663485,R
2024,663500,R
2024,663531,L
2024,663542,L
2024,663546,R
2024,663554,R
2024,663559,L
2024,663562,R
2024,663567,R
2024,663568,R
2024,663574,R
2024,663623,R
2024,663670,R
2024,663671,R
2024,663681,R
2024,663687,L
2024,663704,R
2024,663735,R
2024,663738,L
2024,663752,R
2024,663765,R
2024,663767,R
2024,663773,R
2024,663776,L
2024,663793,R
2024,663795,R
2024,663855,R
2024,663878,R
2024,663893,L
2024,663897,R
2024,663903,R
2024,663941,R
2024,663947,L
2024,663969,R
2024,663977,L
2024,663978,R
2024,663989,L
2024,663992,L
2024,664054,R
2024,664076,L
2024,664079,L
2024,664092,R
2024,664123,R
2024,664126,R
2024,664129,R
2024,664139,R
2024,664192,L
2024,664199,R
2024,664208,R
2024,664285,L
2024,664299,R
2024,664301,R
2024,664350,R
2024,664351,R
2024,664747,R
2024,664776,R
2024,664849,L
2024,664854,R
2024,664875,R
2024,664901,R
2024,664948,L
2024,665001,R
2024,665019,R
2024,665048,R
2024,665152,R
2024,665167,R
2024,665178,L
2024,665620,R
2024,665622,R
2024,665625,R
2024,665660,R
2024,665795,R
2024,665828,R
2024,665871,R
2024,665896,R
2024,665996,L
2024,666121,R
2024,666122,L
2024,666129,L
2024,666142,L
2024,666149,R
2024,666151,R
2024,666157,L
2024,666159,R
2024,666163,R
2024,666171,R
2024,666197,R
2024,666200,L
2024,666201,R
2024,666202,L
2024,666204,R
2024,666205,L
2024,666207,R
2024,666208,R
2024,666214,L
2024,666215,R
2024,666277,R
2024,666364,R
2024,666619,R
2024,666659,R
2024,666711,R
