game_year,batter,bats
2024,685332,L
2024,685382,R
2024,685388,L
2024,685392,R
2024,685580,L
2024,685744,R
2024,686217,L
2024,686251,L
2024,686438,L
2024,686452,B
2024,686469,L
2024,686475,R
2024,686482,L
2024,686490,R
2024,686523,L
2024,686527,L
2024,686546,R
2024,686551,R
2024,686554,L
2024,686555,B
2024,686577,R
2024,686611,R
2024,686668,R
2024,686673,R
2024,686676,R
2024,686677,R
2024,686681,L
2024,686759,R
2024,686765,B
2024,686766,R
2024,686780,R
2024,686797,B
2024,686823,L
2024,686863,R
2024,686894,R
2024,686948,L
2024,686958,R
2024,686977,R
2024,686981,R
2024,686984,L
2024,687005,R
2024,687020,R
2024,687036,R
2024,687066,R
2024,687069,R
2024,687071,R
2024,687073,R
2024,687093,R
2024,687136,R
2024,687144,R
2024,687152,L
2024,687201,R
2024,687206,L
2024,687231,R
2024,687248,R
2024,687260,R
2024,687263,R
2024,687272,L
2024,687282,L
2024,687310,R
2024,687331,R
2024,687363,L
2024,687394,R
2024,687401,R
2024,687426,R
2024,687431,L
2024,687462,L
2024,687478,R
2024,687515,R
2024,687521,R
2024,687529,L
2024,687551,L
2024,687554,R
2024,687573,R
2024,687588,L
2024,687597,R
2024,687605,R
2024,687608,R
2024,687625,L
2024,687637,L
2024,687730,R
2024,687731,R
2024,687749,R
2024,687783,L
2024,687799,L
2024,687823,L
2024,687833,L
2024,687859,L
2024,687862,L
2024,687942,R
2024,687952,R
2024,687957,L
2024,687981,R
2024,687982,L
2024,688005,R
2024,688311,R
2024,688363,L
2024,688392,L
2024,688449,R
2024,688457,L
2024,688460,R
2024,688507,R
2024,688682,R
2024,688714,R
2024,688760,R
2024,688808,L
2024,688907,L
2024,688963,L
2024,689041,L
2024,689047,L
2024,689070,L
2024,689141,L
2024,689172,L
2024,689200,L
2024,689288,L
2024,689302,R
2024,689355,R
2024,689531,L
2024,689651,R
2024,689688,R
2024,689750,R
2024,689763,R
2024,689858,R
2024,689959,L
2024,689984,R
2024,690022,R
2024,690180,L
2024,690291,L
2024,690443,L
2024,690448,R
2024,690474,L
2024,690841,R
2024,690904,R
2024,690914,R
2024,690958,R
2024,690969,L
2024,690983,R
2024,690984,L
2024,690985,L
2024,690988,L
2024,690992,R
2024,690993,L
2024,691002,R
2024,691003,L
2024,691011,B
2024,691016,L
2024,691021,R
2024,691023,R
2024,691026,R
2024,691176,B
2024,691182,L
2024,691183,R
2024,691186,L
2024,691191,R
2024,691252,L
2024,691267,R
2024,691268,R
2024,691277,R
2024,691283,L
2024,691369,R
2024,691370,R
2024,691373,R
2024,691392,R
2024,691398,L
2024,691406,R
2024,691408,L
2024,691410,R
2024,691442,R
2024,691503,R
2024,691586,R
2024,691594,R
2024,691708,R
2024,691710,L
2024,691718,L
2024,691720,R
2024,691723,R
2024,691726,R
2024,691728,L
2024,691740,R
2024,691770,L
2024,691775,L
2024,691777,R
2024,691781,R
2024,691785,L
2024,691788,L
2024,691797,R
2024,691858,R
2024,691907,L
2024,691913,L
2024,691938,R
2024,691939,R
2024,692044,L
2024,692046,R
2024,692190,R
2024,692390,R
2024,692412,R
2024,692416,R
2024,692422,L
2024,692478,L
2024,692568,R
2024,692585,L
2024,692670,R
2024,693049,L
2024,693073,R
2024,693304,R
2024,693307,R
2024,693409,L
2024,693850,R
2024,694175,R
2024,694181,L
2024,694182,R
2024,694185,R
2024,694186,L
2024,694192,R
2024,694196,R
2024,694200,L
2024,694202,R
2024,694203,R
2024,694206,R
2024,694211,L
2024,694214,L
2024,694222,R
2024,694224,R
2024,694249,L
2024,694266,R
2024,694271,R
2024,694292,R
2024,694304,L
2024,694351,L
2024,694355,R
2024,694359,L
2024,694362,R
2024,694368,R
2024,694371,R
2024,694374,R
2024,694376,R
2024,694377,R
