stand,p_throws,zone,pitch_type,total_pitches,total_swings,swing_percentage
R,R,11.0,CS,34,9,0.2647058823529412
R,R,11.0,CU,9046,756,0.08357284987839929
R,R,11.0,EP,247,67,0.27125506072874495
R,R,11.0,FA,376,103,0.27393617021276595
R,R,11.0,FC,6840,1560,0.22807017543859648
R,R,11.0,FF,92014,31797,0.3455669789379877
R,R,11.0,FO,35,10,0.2857142857142857
R,R,11.0,FS,2687,824,0.3066617045031634
R,R,11.0,KC,3123,280,0.08965738072366314
R,R,11.0,KN,320,56,0.175
R,R,11.0,PO,1,0,0.0
R,R,11.0,SC,15,3,0.2
R,R,11.0,SI,55059,22490,0.4084709130205779
R,R,11.0,SL,17714,2908,0.16416393812803431
R,R,11.0,ST,3886,475,0.1222336592897581
R,R,11.0,SV,266,25,0.09398496240601503
R,R,12.0,CH,1367,292,0.21360643745427946
R,R,12.0,CS,18,4,0.2222222222222222
R,R,12.0,CU,4207,878,0.20869978607083434
R,R,12.0,EP,230,83,0.36086956521739133
R,R,12.0,FA,414,157,0.37922705314009664
R,R,12.0,FC,13727,4777,0.34800029139651784
R,R,12.0,FF,93687,28998,0.3095199974382785
R,R,12.0,FO,4,1,0.25
R,R,12.0,FS,325,74,0.2276923076923077
R,R,12.0,KC,1249,208,0.16653322658126501
R,R,12.0,KN,275,95,0.34545454545454546
R,R,12.0,PO,228,0,0.0
R,R,12.0,SC,1,0,0.0
R,R,12.0,SI,15319,2003,0.13075266009530648
R,R,12.0,SL,21690,6498,0.2995850622406639
R,R,12.0,ST,4823,1925,0.3991291727140784
R,R,12.0,SV,224,93,0.41517857142857145
R,R,13.0,CH,24565,11725,0.47730510889476896
R,R,13.0,CS,29,12,0.41379310344827586
R,R,13.0,CU,7868,3093,0.393111337061515
R,R,13.0,EP,37,13,0.35135135135135137
R,R,13.0,FA,96,19,0.19791666666666666
R,R,13.0,FC,3176,783,0.24653652392947104
R,R,13.0,FF,24425,5476,0.22419651995905834
R,R,13.0,FO,143,68,0.4755244755244755
R,R,13.0,FS,8206,4131,0.5034121374603948
R,R,13.0,KC,3204,1415,0.4416354556803995
R,R,13.0,KN,174,57,0.3275862068965517
R,R,13.0,SC,17,8,0.47058823529411764
R,R,13.0,SI,59872,24335,0.40645042757883487
R,R,13.0,SL,16211,5206,0.3211399666892851
R,R,13.0,ST,2377,571,0.24021876314682372
R,R,13.0,SV,242,73,0.30165289256198347
R,R,14.0,CH,30006,7865,0.2621142438179031
R,R,14.0,CS,88,29,0.32954545454545453
R,R,14.0,CU,53935,16479,0.3055344396032261
R,R,14.0,EP,214,56,0.2616822429906542
R,R,14.0,FA,486,58,0.11934156378600823
R,R,14.0,FC,50806,14824,0.29177656182340667
R,R,14.0,FF,100016,10951,0.10949248120300752
R,R,14.0,FO,264,94,0.3560606060606061
R,R,14.0,FS,10794,3441,0.3187882156753752
R,R,14.0,KC,20047,6608,0.329625380356163
R,R,14.0,KN,575,149,0.2591304347826087
R,R,14.0,PO,13,0,0.0
R,R,14.0,SC,19,8,0.42105263157894735
R,R,14.0,SI,54620,4173,0.07640058586598315
R,R,14.0,SL,203889,69504,0.34089136736165265
R,R,14.0,ST,37592,12964,0.3448606086401362
R,R,14.0,SV,4045,1461,0.36118665018541407
